uuid,division,collection,title,typeOfResource,genre,date,identifier,location,total
5db7ad80-c52a-012f-0a4c-3c075448cc4b,Lionel Pincus and Princess Firyal Map Division,Maps of North America.,1,1,0,1,1,1,5
d7cac480-c52a-012f-b006-3c075448cc4b,Lionel Pincus and Princess Firyal Map Division,Maps of North America.,1,1,0,1,1,1,5
05a920b0-c52b-012f-bd3f-3c075448cc4b,Lionel Pincus and Princess Firyal Map Division,Maps of North America.,1,1,1,1,1,1,6
4f409800-c52b-012f-29cb-3c075448cc4b,Lionel Pincus and Princess Firyal Map Division,Maps of North America.,1,1,0,1,1,1,5
b8d50ee0-c52b-012f-0ac7-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
c55fe1b0-c52b-012f-904b-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
d188b580-c52b-012f-b33f-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
dd8be660-c52b-012f-5e86-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
ea454890-c52b-012f-f1b1-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,1,1,1,6
a1fab0f0-c52b-012f-d0e9-3c075448cc4b,Lionel Pincus and Princess Firyal Map Division,Maps of North America.,1,1,0,1,1,1,5
06a46c70-c52c-012f-5321-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
189f3900-c52c-012f-611d-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,1,1,1,6
2a7d2370-c52c-012f-f6fa-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
37178db0-c52c-012f-7099-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
43288120-c52c-012f-8a4e-58d385a7bc34,Billy Rose Theatre Division,Billy Rose Theatre Collection photograph file,1,1,1,0,0,1,4
50347030-c52c-012f-e921-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
5b31f5b0-c52c-012f-8924-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,1,1,1,6
66068000-c52c-012f-e5f6-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,1,1,1,6
701103a0-c52c-012f-1fb9-58d385a7bc34,Billy Rose Theatre Division,Billy Rose Theatre Collection photograph file,1,1,1,0,0,1,4
7a901040-c52c-012f-de56-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
86890560-c52c-012f-dbeb-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
93105e50-c52c-012f-fb1d-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
a054d030-c52c-012f-acb4-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
ac29cae0-c52c-012f-86b8-58d385a7bc34,Billy Rose Theatre Division,Billy Rose Theatre Collection photograph file,1,1,1,0,0,1,4
b8375730-c52c-012f-1769-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
c26d51d0-c52c-012f-413f-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
cdd9ec90-c52c-012f-82a6-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
daca0ab0-c52c-012f-4a08-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
f052fad0-c52c-012f-65a7-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
fc2b93d0-c52c-012f-ee7f-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
06d42700-c52d-012f-572e-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
0e66db80-c52d-012f-491d-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
1660aae0-c52d-012f-8d50-58d385a7bc34,Manuscripts and Archives Division,"Thomas Addis Emmet collection, 1483-1876, bulk (1700-1800)",1,1,0,1,1,1,5
1db1a310-c52d-012f-db5d-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
265153e0-c52d-012f-bd26-58d385a7bc34,Manuscripts and Archives Division,"Thomas Addis Emmet collection, 1483-1876, bulk (1700-1800)",1,1,0,1,1,1,5
2e677bd0-c52d-012f-c7d5-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
35f1d930-c52d-012f-fc53-58d385a7bc34,Billy Rose Theatre Division,Billy Rose Theatre Collection photograph file,1,1,1,0,0,1,4
46137b00-c52d-012f-d92e-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
4dc6d1e0-c52d-012f-2a43-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
55c25ee0-c52d-012f-15a3-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
5d89ad80-c52d-012f-f713-58d385a7bc34,Billy Rose Theatre Division,Billy Rose Theatre Collection photograph file,1,1,1,0,0,1,4
655c87b0-c52d-012f-134e-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
6d0c8df0-c52d-012f-8c0f-58d385a7bc34,Manuscripts and Archives Division,"Thomas Addis Emmet collection, 1483-1876, bulk (1700-1800)",1,1,0,1,1,1,5
7631a960-c52d-012f-ade9-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
7e7ba910-c52d-012f-a1f6-58d385a7bc34,Billy Rose Theatre Division,Billy Rose Theatre Collection photograph file,1,1,1,0,0,1,4
86b93200-c52d-012f-9d24-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
961594d0-c52d-012f-0db4-58d385a7bc34,Billy Rose Theatre Division,Billy Rose Theatre Collection photograph file,1,1,1,0,0,1,4
9d1f6210-c52d-012f-bf5e-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
a4943e60-c52d-012f-5721-58d385a7bc34,Billy Rose Theatre Division,Billy Rose Theatre Collection photograph file,1,1,1,0,0,1,4
ab6bc0e0-c52d-012f-d760-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
b3345600-c52d-012f-cc48-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
c3600000-c52d-012f-8d69-58d385a7bc34,Manuscripts and Archives Division,"Thomas Addis Emmet collection, 1483-1876, bulk (1700-1800)",1,1,0,1,1,1,5
cb397b30-c52d-012f-1ccb-58d385a7bc34,Billy Rose Theatre Division,Billy Rose Theatre Collection photograph file,1,1,1,0,0,1,4
dd4f6c90-c52d-012f-eec3-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
e7751d00-c52d-012f-5ee6-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
f193b5a0-c52d-012f-423d-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
fb9384d0-c52d-012f-6fe8-58d385a7bc34,Billy Rose Theatre Division,Billy Rose Theatre Collection photograph file,1,1,1,0,0,1,4
0fd72090-c52e-012f-ce90-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
19c60da0-c52e-012f-fb2e-58d385a7bc34,Manuscripts and Archives Division,"Thomas Addis Emmet collection, 1483-1876, bulk (1700-1800)",1,1,0,1,1,1,5
22441750-c52e-012f-d2e1-58d385a7bc34,Manuscripts and Archives Division,"Thomas Addis Emmet collection, 1483-1876, bulk (1700-1800)",1,1,0,1,1,1,5
2b4bc850-c52e-012f-a00e-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
33b710c0-c52e-012f-e74c-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
3b194d20-c52e-012f-1d27-58d385a7bc34,Manuscripts and Archives Division,"Thomas Addis Emmet collection, 1483-1876, bulk (1700-1800)",1,1,0,1,1,1,5
43687500-c52e-012f-4191-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
4b391f80-c52e-012f-1041-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
53d59360-c52e-012f-adf6-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
5b086060-c52e-012f-b5c3-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
61b21d10-c52e-012f-517e-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
68507970-c52e-012f-34e0-58d385a7bc34,Billy Rose Theatre Division,Billy Rose Theatre Collection photograph file,1,1,1,0,0,1,4
6dfdc2c0-c52e-012f-3d8f-58d385a7bc34,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection",Print Collection portrait file,1,1,1,1,0,1,5
7425c5e0-c52e-012f-3325-58d385a7bc34,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection",Robert N. Dennis collection of stereoscopic views,1,1,1,1,1,1,6
7a598720-c52e-012f-c3c6-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
7fbd6380-c52e-012f-b9cb-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
847dbe60-c52e-012f-70cd-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
897b98d0-c52e-012f-ada0-58d385a7bc34,George Arents Collection,Cigarette cards,1,1,1,0,1,1,5
8e3fd2c0-c52e-012f-faba-58d385a7bc34,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection",Robert N. Dennis collection of stereoscopic views,1,1,1,1,1,1,6
93206d20-c52e-012f-131e-58d385a7bc34,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection",Print Collection portrait file,1,1,1,0,0,1,4
981a3490-c52e-012f-f292-58d385a7bc34,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection",Robert N. Dennis collection of stereoscopic views,1,1,1,1,1,1,6
